index,subset_size,minority_size,run,roc_auc,time_elapsed
58,110,0.2889,28,0.6813260272696575,51.705892315134406
59,110,0.2889,29,0.6836549115677767,49.34787858836353
60,100,0.2889,0,0.6819929946620443,48.6419045869261
61,100,0.2889,1,0.6632820305221994,48.282776111736894
62,100,0.2889,2,0.6591572414756236,46.39304458349943
63,100,0.2889,3,0.6354884853856846,44.03682555258274
64,100,0.2889,4,0.6506403124147895,49.39966910518706
65,100,0.2889,5,0.7095261436690481,46.71062942408025
66,100,0.2889,6,0.7145321712425231,45.883985007181764
67,100,0.2889,7,0.6584129184941956,49.405189296230674
68,100,0.2889,8,0.6818406411758665,50.1185845118016
69,100,0.2889,9,0.6793608663605734,46.90355362556875
70,100,0.2889,10,0.679834857729388,45.21226557344198
71,100,0.2889,11,0.6463224749903241,50.128113366663456
72,100,0.2889,12,0.6388583453667387,46.30718835443258
73,100,0.2889,13,0.7105053570007199,46.662648256868124
74,100,0.2889,14,0.6416111200806935,46.798941964283586
75,100,0.2889,15,0.6753346256590914,47.25434425845742
76,100,0.2889,16,0.6584669689340633,48.469125624746084
77,100,0.2889,17,0.6337183617158496,47.136149913072586
78,100,0.2889,18,0.6696919400932795,48.831265768036246
79,100,0.2889,19,0.6447254563778573,45.78834840469062
80,100,0.2889,20,0.6824190980611501,48.81896382756531
81,100,0.2889,21,0.6472690953490984,45.297519501298666
82,100,0.2889,22,0.6573397186689076,46.9346334207803
83,100,0.2889,23,0.6583459942800418,46.726924484595656
84,100,0.2889,24,0.6826824271876267,45.41252752020955
85,100,0.2889,25,0.6813687639649127,47.753615314140916
86,100,0.2889,26,0.6743115073746485,49.167921436950564
87,100,0.2889,27,0.7083080428522787,45.75286615639925
88,100,0.2889,28,0.6606399243838793,49.683035124093294
89,100,0.2889,29,0.7009912636785307,46.00422143191099
90,90,0.2889,0,0.6914608923996569,41.617281494662166
91,90,0.2889,1,0.6758076305385536,38.550750436261296
92,90,0.2889,2,0.6970111991494916,43.17682764865458
93,90,0.2889,3,0.6764747673459276,41.83437124826014
94,90,0.2889,4,0.6655232566823694,41.45523788407445
95,90,0.2889,5,0.6645429950954642,41.946788500994444
96,90,0.2889,6,0.6223199254924181,44.37955399043858
97,90,0.2889,7,0.6467539608447517,41.246756011620164
98,90,0.2889,8,0.6534127922094405,40.54478878155351
99,90,0.2889,9,0.6573831189061957,42.72781419940293
100,90,0.2889,10,0.6517659938265744,44.96176159568131
101,90,0.2889,11,0.680066783317356,41.12536578811705
102,90,0.2889,12,0.6399798037570202,42.798148607835174
103,90,0.2889,13,0.6829898165639463,42.52018857188523
104,90,0.2889,14,0.6503597311954517,40.83450567536056
105,90,0.2889,15,0.6508313684018405,41.6635381821543
106,90,0.2889,16,0.690036505894385,41.27803165651858
107,90,0.2889,17,0.647100315668122,41.15128501318395
108,90,0.2889,18,0.6828143573441524,41.567952275276184
109,90,0.2889,19,0.6507991848484947,42.78631107509136
110,90,0.2889,20,0.6453079245159101,38.81530663371086
111,90,0.2889,21,0.7120244870728317,42.26762359030545
112,90,0.2889,22,0.6481176156065991,41.983102794736624
113,90,0.2889,23,0.670726640362731,39.84648535400629
114,90,0.2889,24,0.6763739583695987,40.282226694747806
115,90,0.2889,25,0.6456137132735484,38.15555476024747
116,90,0.2889,26,0.6430671977770044,41.741622706875205
