index,subset_size,minority_size,run,roc_auc,time_elapsed
122,80,0.2889,2,0.6529861311526688,506.65371196344495
123,80,0.2889,3,0.6660188696389228,487.1413121242076
124,80,0.2889,4,0.6529907759469006,502.5338897369802
125,80,0.2889,5,0.6943925393395012,494.96479588001966
126,80,0.2889,6,0.663077015446101,491.577446160838
127,80,0.2889,7,0.6572885853433503,492.4229459166527
128,80,0.2889,8,0.6886601255963656,501.4423614125699
129,80,0.2889,9,0.6750509879110266,502.1131552439183
130,80,0.2889,10,0.6589732532700694,496.46274156682193
131,80,0.2889,11,0.6687193251224102,507.9172871224582
132,80,0.2889,12,0.6457023649598079,479.67339103110135
133,80,0.2889,13,0.678941567796786,507.73190532438457
134,80,0.2889,14,0.6802074436399397,516.5235762447119
135,80,0.2889,15,0.6514554702729922,502.1603455301374
136,80,0.2889,16,0.6726522464017881,502.4207874648273
137,80,0.2889,17,0.6695200844714421,505.2045803517103
138,80,0.2889,18,0.669684660543049,478.1592239495367
139,80,0.2889,19,0.6580854516771562,502.2398194000125
140,80,0.2889,20,0.6594529571004828,492.771978225559
141,80,0.2889,21,0.6725419448919588,493.6667801681906
142,80,0.2889,22,0.6588146402530631,496.44130673632026
143,80,0.2889,23,0.6763848926952295,488.9094919040799
144,80,0.2889,24,0.6635739466630232,491.6157164145261
145,80,0.2889,25,0.6690394294464651,491.83522418886423
146,80,0.2889,26,0.6734732384886115,507.70028461143374
147,80,0.2889,27,0.6508429786226804,480.4948215857148
148,80,0.2889,28,0.6806983465069018,501.72462861053646
149,80,0.2889,29,0.6759485891021042,487.8215835019946
150,70,0.2889,0,0.6574349775396668,599.7156045194715
151,70,0.2889,1,0.6757558583773157,609.7225071527064
152,70,0.2889,2,0.6563479686281843,592.6367892734706
153,70,0.2889,3,0.6753745070059167,602.225198533386
154,70,0.2889,4,0.6735018255029585,577.3045779969543
155,70,0.2889,5,0.6749730993706713,612.8445912767202
156,70,0.2889,6,0.6746044276522191,586.2234691120684
157,70,0.2889,7,0.6746067676967296,603.1691642776132
158,70,0.2889,8,0.6778806082043217,578.6831143591553
159,70,0.2889,9,0.6661375254253071,577.2644663508981
160,70,0.2889,10,0.6877313449886892,608.5718323010951
161,70,0.2889,11,0.6814638763622977,619.8253306560218
162,70,0.2889,12,0.6711743247605679,599.6747393850237
163,70,0.2889,13,0.6774265248612399,594.1245935186744
164,70,0.2889,14,0.659714479133763,604.6299310382456
165,70,0.2889,15,0.6727420239918163,590.4344044476748
166,70,0.2889,16,0.6662935072157937,595.7696226146072
167,70,0.2889,17,0.6603736128477323,596.7822979949415
168,70,0.2889,18,0.6713110585378758,581.6227873098105
169,70,0.2889,19,0.6535055222085683,593.4113415982574
170,70,0.2889,20,0.646416315010566,602.6086955685169
171,70,0.2889,21,0.6613583868734105,605.5495314970613
172,70,0.2889,22,0.6606324189469994,587.4177118558437
173,70,0.2889,23,0.6652814132586936,595.8197537194937
174,70,0.2889,24,0.6817917790699812,576.0970001630485
175,70,0.2889,25,0.6689610291316694,579.7720697242767
176,70,0.2889,26,0.657184981019733,613.1023577712476
177,70,0.2889,27,0.663641636774098,603.7634914405644
178,70,0.2889,28,0.6763591504408758,604.3127593360841
179,70,0.2889,29,0.6708460214570293,604.3148687127978
180,60,0.2889,0,0.6732588579402532,709.3220056630671
181,60,0.2889,1,0.6481092807421777,716.9262958802283
182,60,0.2889,2,0.6920548807568379,700.9293481521308
183,60,0.2889,3,0.6699148637453142,720.7419580370188
184,60,0.2889,4,0.6707542761825145,706.1789947152138
185,60,0.2889,5,0.6857620898840814,681.3994543012232
186,60,0.2889,6,0.6467875226596075,715.4381145276129
187,60,0.2889,7,0.6610568034898809,713.7311692517251
188,60,0.2889,8,0.6699176255625531,684.0277404822409
189,60,0.2889,9,0.6607911590252459,703.3107377197593
190,60,0.2889,10,0.6684608066756733,685.4783188216388
191,60,0.2889,11,0.6665187585591629,695.7568933609873
192,60,0.2889,12,0.6634020751585308,684.2427662089467
193,60,0.2889,13,0.6706037792022378,694.1525982171297
